Name                                    Type     CAS         Formula         pKa
4-Cl-C6H4-SO2-NH-Tos                     NH    69173-28-0     C13H12ClNO4S2    11.10
C6H5-CO-NH-Tf                            NH    39062-91-4     C8H6F3NO3S       11.07
Picricacid                               OH    88-89-1        C6H3N3O7         11.00
5-NO2-Barbituricacid                     CH    480-68-2       C4H3N3O5         10.72
4-F-C6H4-CO-NH-Tf                        NH    39063-00-8     C8H5F4NO3S       10.65
(2,4,6-(NO2)3-C6H2)2NH                  NH    131-73-7       C12H5N7O12       10.54
2,3,4,5,6-(CF3)5-Phenol                 OH    723294-91-5    C11HF15O         10.46
2,3,4,6-(CF3)4-C6H-CH(CN)2              CH    1018330-49-8   C13H2F12N2       10.42
4-Cl-C6H4-CO-NH-Tf                       NH    39062-99-2     C8H5ClF3NO3S     10.35
HCl                                      HHal  7647-01-0      ClH              10.3
4-MeO-C6H4-SO2-NH-SO2-C6H4-4-NO2         NH    96433-16-8     C13H12N2O7S2     10.29
(4-Cl-C6H4-SO2)2NH                       NH    2725-55-5      C12H9Cl2NO4S2    10.20
4-CF3-C6F4-CH(CN)2                       CH    55852-24-9     C10HF7N2         10.19
2,3,4,5,6-(CF3)5-Thiophenol             SH    741243-29-8    C11HF15S         10.12 
3-NO2-C6H4-SO2-NH-Tos                    NH    28006-58-8     C13H12N2O6S2     10.07
4-NO2-C6H4-SO2-NH-Tos                   NH    100724-78-5    C13H12N2O6S2     10.04
Me-SO3H                                  OH    75-75-2        CH4O3S           9.97
4-Cl-3-NO2-C6H3-SO2-NH-Tos               NH    215395-06-5    C13H11ClN2O6S2   9.68
2,4-(NO2)2-C6H3-CH(CN)2                  CH    218964-83-1    C9H4N4O4         9.58
4-NO2-C6H4-CO-NH-Tf                      NH    39062-98-1     C8H5F3N2O5S      9.49 
4-NO2-C6H4-SO2-NH-SO2-C6H4-4-Cl          NH    95468-16-9     C12H9ClN2O6S2    9.17
2,3,4,5,6-(CF3)5-C6-CH(CN)2              CH    1018330-44-3   C14HF15N2        8.88
[2,3,4,5,6-(CF3)5-C6]2NH                 NH                   C22HF30N         8.76
4-Cl-3-NO2-C6H3-SO2-NH-SO2-C6H4-4-Cl     NH    1171188-83-2   C12H8Cl2N2O6S2   8.75
TosOH                                    OH    104-15-4       C7H8O3S          8.5 
Ph-SO3H                                  OH    98-11-3        6H6O3S           8.2
(3-NO2-C6H4-SO2)2NH                      NH    116082-80-5    C12H9N3O8S2      8.16
(4-NO2-C6H4-SO2)2NH                      NH    4009-06-7      C12H9N3O8S2      8.15
2,4,6-(SO2OCH2CF2CF2H)3-Phenol           OH    1263293-54-4   C15H12F12O10S3   8.14
2,4,6-(SO2OCH2CF3)3-Phenol               OH    1263293-53-3   C12H9F9O10S3     7.94
1-C10H7-SO3H                             OH    85-47-2        C10H8O3S         7.9
3-NO2-C6H4-SO2-NH-SO2-C6H3-3-NO2-4-Cl    NH    34350-21-5     C12H8ClN3O8S2    7.84
4-NO2-C6H4-SO2-NH-SO2-C6H3-3-NO2-4-Cl    NH    2226486-82-2   C12H8ClN3O8S2    7.82
C6H5-CHTf2                               CH    40906-82-9     C9H6F6O4S2       7.73
H2SO4                                    OH    7664-93-9      H2SO4            7.6
C6F5-SO2-NH-SO2-C6H4-4-Cl                NH    1171188-85-4   C12H5ClF5NO4S2   7.55
(4-Cl-3-NO2-C6H3-SO2)2NH                 NH    64646-01-1     C12H7Cl2N3O8S2   7.47
Me-TCNPD                                 CH    120879-67-6    C10H6N4          7.36
